# Horiz displ, [mm]   Reaction force, [N]
0.0000           0.0000
0.3000           1.3842
0.6000           2.7642
0.9000           4.1434
1.2000           5.5197
1.5000           6.8968
1.8000           8.2725
2.1000           9.6465
2.4000           11.0186
2.7000           12.3886
3.0000           13.7563
3.3000           15.1213
3.6000           16.4837
3.9000           17.8430
4.2000           19.1993
4.5000           20.5522
4.8000           21.9017
5.1000           23.2475
5.4000           24.5897
5.7000           25.9281
6.0000           27.2612
6.3000           28.5917
6.6000           29.9182
6.9000           31.2409
7.2000           32.5596
7.5000           33.8745
7.8000           35.1858
8.1000           36.4936
8.4000           37.7982
8.7000           39.0998
9.0000           40.3987
9.3000           41.6955
9.6000           42.9894
9.9000           44.2829
10.2000           45.5757
10.5000           46.8682
10.8000           48.1611
11.1000           49.4550
11.4000           50.7505
11.7000           52.0484
12.0000           53.3493
12.3000           54.6540
12.6000           55.9633
12.9000           57.2779
13.2000           58.5986
13.5000           59.9263
13.8000           61.2619
14.1000           62.6056
14.4000           63.9597
14.7000           65.3246
15.0000           66.7013
15.3000           68.0909
15.6000           69.4946
15.9000           70.9136
16.2000           72.3492
16.5000           73.8026
16.8000           75.2754
17.1000           76.7689
17.4000           78.2847
17.7000           79.8243
18.0000           81.3894
18.3000           82.9818
18.6000           84.6032
18.9000           86.2554
19.2000           87.9405
19.5000           89.6605
19.8000           91.4174
20.1000           93.2134
20.4000           95.0509
20.7000           96.9321
21.0000           98.8598
21.3000           100.8364
21.6000           102.8648
21.9000           104.9481
22.2000           107.0893
22.5000           109.2918
22.8000           111.5592
23.1000           113.8954
23.4000           116.3045
23.7000           118.7907
24.0000           121.3589
24.3000           124.0142
24.6000           126.7612
24.9000           129.6058
25.2000           132.5539
25.5000           135.6117
25.8000           138.7856
26.1000           142.0825
26.4000           145.5095
26.7000           149.0739
27.0000           152.7835
27.3000           156.6463
27.6000           160.6703
27.9000           164.8640
28.2000           169.2361
28.5000           173.7954
28.8000           178.5511
29.1000           183.5125
29.4000           188.6889
29.7000           194.0901
30.0000           199.7261
